[21022013]-[14:07:04 PM]: [90.191.172.28]: 1x  Bones (3251/3228).
[21022013]-[14:07:33 PM]: [90.191.172.28]: 1x  Bones (3260/3230).
[21022013]-[14:08:33 PM]: [90.191.172.28]: 1x  Bones (3254/3259).
[21022013]-[14:08:33 PM]: [90.191.172.28]: 1x  Raw beef (3254/3259).
[21022013]-[14:08:33 PM]: [90.191.172.28]: 1x  Cowhide (3254/3259).
[21022013]-[14:10:55 PM]: [90.191.172.28]: 1x  Bones (3253/3256).
[21022013]-[14:10:55 PM]: [90.191.172.28]: 1x  Raw beef (3253/3256).
[21022013]-[14:10:55 PM]: [90.191.172.28]: 1x  Cowhide (3253/3256).
[21022013]-[14:11:45 PM]: [90.191.172.28]: 1x  Bones (3254/3257).
[21022013]-[14:11:45 PM]: [90.191.172.28]: 1x  Raw beef (3254/3257).
[21022013]-[14:11:45 PM]: [90.191.172.28]: 1x  Cowhide (3254/3257).
[21022013]-[14:11:58 PM]: [90.191.172.28]: 1x  Bones (3254/3256).
[21022013]-[14:11:58 PM]: [90.191.172.28]: 1x  Raw beef (3254/3256).
[21022013]-[14:11:58 PM]: [90.191.172.28]: 1x  Cowhide (3254/3256).
[21022013]-[14:12:30 PM]: [90.191.172.28]: 1x  Bones (3260/3258).
[21022013]-[14:12:30 PM]: [90.191.172.28]: 1x  Raw beef (3260/3258).
[21022013]-[14:12:30 PM]: [90.191.172.28]: 1x  Cowhide (3260/3258).
[21022013]-[14:13:13 PM]: [90.191.172.28]: 1x  Bones (3263/3258).
[21022013]-[14:13:13 PM]: [90.191.172.28]: 1x  Raw beef (3263/3258).
[21022013]-[14:13:13 PM]: [90.191.172.28]: 1x  Cowhide (3263/3258).
[21022013]-[14:13:29 PM]: [90.191.172.28]: 1x  Bones (3259/3259).
[21022013]-[14:13:29 PM]: [90.191.172.28]: 1x  Raw beef (3259/3259).
[21022013]-[14:13:29 PM]: [90.191.172.28]: 1x  Cowhide (3259/3259).
[21022013]-[14:13:58 PM]: [90.191.172.28]: 1x  Bones (3262/3258).
[21022013]-[14:13:58 PM]: [90.191.172.28]: 1x  Raw beef (3262/3258).
[21022013]-[14:13:58 PM]: [90.191.172.28]: 1x  Cowhide (3262/3258).
[21022013]-[14:20:57 PM]: [90.191.172.28]: 1x  Raw chicken (3233/3294).
[21022013]-[14:20:57 PM]: [90.191.172.28]: 1x  Bones (3233/3294).
[21022013]-[14:20:57 PM]: [90.191.172.28]: 1x  Feather (3233/3294).
[21022013]-[14:21:28 PM]: [90.191.172.28]: 1x  Raw chicken (3229/3298).
[21022013]-[14:21:28 PM]: [90.191.172.28]: 1x  Bones (3229/3298).
[21022013]-[14:21:28 PM]: [90.191.172.28]: 1x  Feather (3229/3298).
[21022013]-[14:22:28 PM]: [90.191.172.28]: 1x  Raw chicken (3231/3299).
[21022013]-[14:22:28 PM]: [90.191.172.28]: 1x  Bones (3231/3299).
[21022013]-[14:22:28 PM]: [90.191.172.28]: 1x  Feather (3231/3299).
[21022013]-[14:22:49 PM]: [90.191.172.28]: 1x  Raw chicken (3230/3297).
[21022013]-[14:22:49 PM]: [90.191.172.28]: 1x  Bones (3230/3297).
[21022013]-[14:22:49 PM]: [90.191.172.28]: 1x  Feather (3230/3297).
